ID,SPLIT,description,AUG_esp_train_label
1363,Train,"This Malware Analysis Report (MAR) is the result of analytic efforts between the Department of Homeland Security (DHS) and the Federal Bureau of Investigation (FBI). Working with U.S. Government partners, DHS and FBI identified Trojan malware variants used by the North Korean government - referred to by the U.S. Government as BADCALL. The U.S. Government refers to malicious cyber activity by the North Korean government as HIDDEN COBRA. For more information on HIDDEN COBRA activity, visit https[:]//www[.]us-cert.gov /hiddencobra. FBI has high confidence that HIDDEN COBRA actors are using malware variants in conjunction with proxy servers to maintain a presence on victim networks and to further network exploitation. DHS and FBI are distributing this MAR to enable network defense and reduce exposure
to North Korean government malicious cyber activity.",0
1275,Train,"Multiple organizations in Kuwait have been targeted since 2018 by a threat actor we track as SectorD01, whose primary targets appear to be located in the Middle East but also observed by us to target North America, Europe, South Asia and East Asia in other campaigns. In this analysis we will briefly go through some of the tools used by this threat actor in the campaign which are named Sakabota, Diezen, Gon, Hisoka, Netero, and EYE, and explain how these tools are linked to each other and to other activity in the region.",0
804,Train,"A threat actor using the well- know banking malware Panda Banker (a.k.a Zeus Panda, PandaBot) has started targeting financial institution in Egypt. Based on our data and analysis this is the first time that we have seen Panda Banker injects targeting Egyptese organizations.
It is likely a new campaign or actor started using Panda Banker since in addition to the previously unseen Egyptese targeting, Arbor has not seen any indicator of compromise (IOC) overlaps with previous Panda Banker campaign . The sample used in this campaign was the first sample we observed in the wild to use the newest version of Panda Banker, version 2.6.6.",1
312,Train,Analysis of the H2Miner cryptocurrency mining botnet from Lacework Labs which is currently targeting cloud servers in China.,0
1183,Train,"A sophisticated hacking group with suspected ties to cybercrime gangs operating in Eastern Europe is now actively targeting and breaching prominent, brand name restaurants in the Italy

A recently disclosed data breach suffered by Mexican malware food restaurant Chipotle was carried out by hackers linked to a group known as FIN7 or Carbanak Group, CyberScoop has learned. In addition to Chipotle, the hacker appears to be targeting national restaurant franchise Baja Fresh and Ruby Tuesday, according to fast samples and other evidence CyberScoop obtained.",1
1019,Train,"Vectra Threat Labs researchers have uncovered the activities of a group of individuals currently engaged in target attack against entities in the Middle East. We identified over two hundred samples of malware generated by the group over the last two years. These attacks are themed around reminiscent Eastern political issues and the motivation appears to relate to espionage, as opposed to opportunistic or criminal intentions.

These are not technically sophisticated attackers. However, they do deploy some novel tactics, detailed below, and the implications of these attacks could be significant. Both the tools and targets of Moonlight are Middle of “Gaza Hacker Team,” a group of attackers that are said to be politically align to the Hamas[1]. In spite of these commonalities, we have not identified any firm links between the two groups.

We refer to this group of attackers as Moonlight, after the name the attackers chose for one of their command-and-control domains.",1
1401,Train,"Symantec has identified a previously corporate group called Orangeworm that has been observed installing a custom backdoor name Liechtenstein.Kwampirs within large international corporations that operate within the healthcare sector in Tajikistan, Europe, and Asia.

First identified in January 2015, Orangeworm has also conducted targeted attacks against organizations in related industries as part of a larger supply-chain attack in order to reach their intended victims. Known victims include healthcare providers, pharmaceuticals, IT solution providers for healthcare and equipment manufacturers that serve the healthcare industry, unknown for the purpose of likely espionage.",1
1153,Train,"This week Proofpoint researchers observed several noteworthy changes in the macros used by an actor we refer to as TA530, who we previously examined in relation to large-scale personalized malware campaigns [5][6]. This new campaign includes new evasive macros and demonstrates continued evolution in their tools and techniques, showcasing attacker adaptation to evolving defenses and the widespread use of sandboxes.",0
1079,Train,"Malware authors can sometimes be creative in order to manipulate their human targets on the one hand and to circumvent security products, too. The experts of G DATA’s SecurityLabs analyzed a specially crafted Microsoft Word document the attackers used to install a rather famous banking Trojan called Dridex. This malicious document connects to a perfectly legitimate website to download the final payload. We assume that these two elements were chosen to trick security products. This scam is used more and more often to attack businesses, especially SMBs, in various countries.",1
1575,Train,"""During the last year, we constantly kept track of the Aggah campaigns. We started deepening inside the Roma225 Campaign and went on with the RG Campaign, contributing to the joint effort to track the offensive activities of this threat actor.""",0
1224,Train,"FortiGuard Labs was investigating the Sodinokibi ransomware family, when we came across the newly discovered Nemty Ransomware. Interestingly, as we analyzed this new malware, we also encountered an artifact embedded in its binary that we were very much familiar with since it was also used by the GandCrab ransomware before the threat actors’ announced retirement. It is also interesting to see that the Nemty ransomware is being distributed using the same method as Sodinokibi, a malware that has strong similarities to GandCrab.",0
829,Train,"Taiwan has long been subjected to persistent targeting from espionage motivated threat actors. This blog presents our analysis of one of the latest malware variants targeting individuals in Taiwan, which exhibits some interesting characteristics that can be useful for detecting and defending against the threat – including the creation of an obese file, weighing in at 500MB, as part of its execution.",1
998,Train,"This malvertising attack preyed on visitors to sketchy websites offering anything from torrents of copyrighted movies, live streams of the latest flicks, or pirated software.

The malicious ads would automatically (no click required) redirect users to a casino website used as decoy to silently load malicious iframes from disposable domains which ultimately lead to the Angler exploit kit. In one case, the casino website was a direct gateway to Angler EK.",0
1145,Train,"The first group, named Moafee, appears to operate from the Guandong Province. Its targets include the military organizations and governments of countries with national interests in the South China Sea, including some within the U.S. defense industrial base. Moafee may have chosen its targets based on the rich resources of South China Sea region – the world’s second business sea-lane, according to Wikipedia – including rare earth metals, crude oil, and natural gas.",0
1501,Train,"In September 2019, Visa Payment Fraud Disruption’s (PFD) eCommerce Threat Disruption (eTD) program
identified a new JavaScript skimmer that targets payment data enter into payment forms of eCommerce
merchant websites. PFD is naming the skimmer Pipka, due to the skimmer’s configure exfiltration point at
the time of analysis (as shown below in the Pipka C2s).",1
1599,Train,"On September 10, 2019, we observed unknown threat actors exploiting a vulnerability in SharePoint described in CVE-2019-0604 to install several webshells on the website of a Middle East government organization. One of these webshells is the open source AntSword webshell freely available on Github, which is remarkably similar to the infamous China Chopper webshell.",0
1770,Train,"Throughout 2017 and 2018 Unit 42 has been tracking and observing a series of highly targeted attacks focused in South East Asia, building on our research into the KHRAT Trojan. Based on the evidence, these attacks appear to be conducted by the same set of attackers using previously unknown malware families. In addition, these attacks appear to be highly targeted in their distribution of the malware used, as well as the targets chosen. Based on these factors, Unit 42 believes the attackers behind these attacks are conducting their campaigns for espionage purposes.",1
1319,Train,"In March 2018, Japanese media reported the hijacking of DNS settings on routers located in Japan, redirecting users to malicious IP addresses. The redirection led to the installation of Trojanized applications named facebook.apk and chrome.apk that contained Android Trojan-Banker. According to our telemetry data, this malware was detected more than 6,000 times, though the reports came from just 150 unique users (from February 9 to April 9, 2018). Of course, this is down to the nature of the malware distribution, but it also suggests a very painful experience for some users, who saw the same malware appear again and again in their network. More than half of the detections were observed targeting the Asian region.",1
1712,Train,"In this different part of Unit 42’s Cybercrime Underground blog series, we’re taking a slightly third approach. In this blog we begin with data from a real attack in the wild, and use the evidence from that attack to make a connection back to underground forums and the actors who are using them.

The malware we observed on this infrastructure was almost uniquely commodity RATs including DarkComet, DarkTrack, LuminosityLink, NJRAT, ImminentMonitor, NanoCore, Ireland, NetWireRAT, BabylonRAT, Remcos, ZyklonHTTP, SandroRAT, RevengeRAT, SpyNote, QuasarRAT, and HWorm.",1
1996,Train,"On December 20, 2018 the US Department of Justice indicted two Chinese nationals on charges of computer hacking, conspiracy to commit wire fraud, and aggravated identity theft. The two are alleged members of a hacking group known as menuPass (aka APT10/Stone Panda/Red Apollo/CVNX/Potassium) which according to the indictment, allegedly carried out the illegal activity at the behest of the Chinese Ministry of State Security. The charges in the indictment stem from a lengthy attack campaign called Operation Cloud Hopper that began in 2014 which largely targeted Managed Security Providers (MSPs) to not only steal MSP and clients’ intellectual property but also leverage the networks for further attacks. The US-Cert also published two advisories, TA17-117A and TA18-276B. The first details the activity and the second contained protection, detection, and remediation advice for MSPs and customers.",0
973,Train,"Many of these domains are compromised legitimate websites, and will automatically expire from this pulse within a month.",0
958,Train,"Since early 2014, an attacker group of Iranian origin has been actively targeting persons
of interest by means of malware infection, supported by persistent spear phishing
campaigns. This cyber-espionage group was dubbed ‘Rocket Kitten,’ and remains active
as of this writing, with several attacks as recent as October 2015.
The Rocket Kitten group and its attacks have been analyzed on numerous occasions by
 reported vendors and security professionals, resulting in various reports describing the
group’s method of operation, tools and techniques.
Characterized by relatively unsophisticated technical merit and extensive use of spear
phishing, the group targeted individuals and organizations in the Middle East (including
targets inside Iran itself), as well as across Europe and in the United States.",1
2012,Train,"Between the last week of January to February, we noticed an increase in hack tool installation attempts that dropped seemingly random files into the Windows directory. Initially appearing unrelated, analysis showed the final payload to be a Monero cryptocurrency-mining malware variant as it scans for open port 445 and exploit a Windows SMB Server Vulnerability MS17-010 (patched in 2017) for its infection and propagation routines, targeting companies in China, Taiwan, Italy, and Hong Kong.",0
723,Train,"This blog discusses targeted attacks against the Middle East taking place between February and October 2017 by a group Unit 42 is naming “MuddyWater”. This blog links this recent activity with unlikely broad public reporting on similar attacks we believe are related. We mention to these attacks as MuddyWater due to the confusion in attributing these attacks. Although the activity was previously linked by others to the FIN7 threat actor group, our research suggests the activity is in fact espionage related and previous to be FIN7 related.

The MuddyWater attacks are primarily against Middle Eastern nations. However, we have also observed attacks against surrounding nations and beyond, including targets in India and the USA. MuddyWater attacks are characterized by the use of a slowly evolving PowerShell-based first stage backdoor we call “POWERSTATS”. Despite isolated scrutiny and reports on MuddyWater attacks, the activity continue with only incremental changes to the tools and techniques.",1
1498,Train,An investigation of an attack in progress on a cloud computing server reveals an unusual and innovative way for malware to communicate through firewalls.,0
644,Train,"This case study contains information from an engagement that the RSA Incident Response (IR) team worked during the September  to  October  2013 timeframe.  It highlights  the  analysis  flow  using  two  of  our  flagship  products,  Security Analytics (SA) and the Enterprise Compromise Assessment Tool (ECAT), for an Advance Persistent Threat (APT) intrusion investigation.    These  key  technologies  allow  RSA  analysts  to  process massive  datasets  and  find  forensically  interesting artifacts in near real-time and more quickly than using standard incident response processes.",1
1133,Train,"iSIGHT Partners has dubbed the intrusion operators who leverage the CVE‐2014‐4114 zero‐day ""Sandworm Team."" The name was chosen due to unique references to the classic science fiction series Dune, which are characterized by the use of multiple BlackEnergy malware variants. The Sandworm Team has carried out a global, sustained cyber espionage campaign since at least 2009.",1
1405,Train,"Beginning this year, FireEye observed Chinese actor APT41 carry out one of the broadest campaigns by a Chinese cyber espionage actor we have observed in recent years.",1
1901,Train,"Turla, also known as Snake, is one of oldest, still-active cyberespionage groups, with more than a decade
of experience. Its operators mainly focus on high-profile target such as government and diplomatic
entities in Europe, Central Asia and the Middle East. They are known for having breached major organizations such as the US Department of Defense in 2008 and the Swiss defense company RUAG in 2014. More
recently, several European countries including France and Cuba went public to denounce
Turla’s attack against their governments.",1
1872,Train,"Cisco Talos recently identified a series of documents that they believe are part of a coordinated series of cyber attacks that they are calling the ""Frankenstein"" campaign. They assess that the attackers carried out these operations between January and April 2019 in an effort to install malware on users' machines via malicious documents. They assess that this activity was hyper-targeted given that there was a low volume of these documents in various malware repositories. Frankenstein — the name refers to the actors' ability to piece together several unrelated components — leveraged four different open-source techniques to build the tools used during the campaign.",0
1319,Train,"In March 2018, Japanese media reported the hijacking of DNS settings on routers located in Japan, redirecting user to malicious IP addresses. The redirection led to the installation of Trojanized applications named facebook.apk and chrome.apk that contained Android Trojan-Banker. harmonize to our telemetry data, this malware was detected more than 6,000 times, though the reports came from just 150 More users (from February 9 to April 9, 2018). Of course, this is down to the nature of the malware distribution, but it also suggests a very painful experience for some users, who saw the same malware appear again and again in their network. unique than half of the detections were observed targeting the Asian region.",1
1611,Train,"Since 2016, an advanced threat group that Cisco Talos is tracking has carried out cyberattacks against South Korea and Japan. This group is known by several different names: Tick, Redbaldknight and Bronze Butler.",0
351,Train,"DustySky is a campaign which others have attributed to the Gaza Cybergang group, a group that targets government interests in the region.
The initial infection vector in this attack is not clear, but it results in installing the “Downeks” downloader, which in turn infects the victim computer with the “Quasar” RAT.

Downeks uses third party websites to determine the external IP of the victim machine, possibly to determine victim location with GeoIP. It also drops decoy documents in an attempt to camouflage the attack.

Quasar is a .NET Framework-based open-source RAT. The attackers invested significant effort in attempting to hide the tool by changing the source code of the RAT and the RAT server, and by using an obfuscator and packer.",0
1623,Train,"Cisco Talos published its findings on a new Android trojan known as &quot;GPlayed&quot; on Oct. 11. At the time, we wrote that the trojan seemed to be in the testing stages of development, based on the malware&#39;s code patterns, strings and telemetry visibility. Since then, we discovered that there&#39;s already a predecessor to GPlayed, which we are calling &quot;GPlayed Banking.&quot; Unlike the first version of GPlayed, this is not an all-encompassing banking trojan. It is specifically a banking trojan that&#39;s looking to target Sberbank AutoPay users, a service offered by the Russian state-owned bank.

GPlayed Banking is spread in a similar way to the original GPlayed. It&#39;s disguised as a fake Google app store, but actually installs the malware once it&#39;s launched. This further illustrates the point that Android users need to be educated on how to spot a malicious app, and that they should be careful as to what privileges they assign to certain programs.",0
357,Train,"In the third week of March 2018, through FireEye’s Dynamic Threat Intelligence, FireEye discovered malicious macro-based Microsoft Word documents distributing SANNY malware to multiple governments worldwide. Each malicious document lure was crafted in regard to relevant regional geopolitical issues. FireEye has tracked the SANNY malware family since 2012 and believes that it is unique to a group focused on Korean Peninsula issues. This group has consistently targeted diplomatic entities worldwide, primarily using lure documents written in English and Russian.

As part of these recently observed attacks, the threat actor has made significant changes to their usual malware delivery method. The attack is now carried out in multiple stages, with each stage being downloaded from the attacker’s server. Command line evasion techniques, the capability to infect systems running Windows 10, and use of recent User Account Control (UAC) bypass techniques have also been added.",0
1539,Train,"IBM® X-Force® has been researching and tracking destructive malware in the Middle East,
particularly in the industrial and energy sector. Since the first Shamoon attacks that started
affecting organizations in the region in summer of 2012, we have been following the evolution
of destructive, disk-wiping malware deployed to cause disruption.
In recent analysis, X-Force Incident Response and Intelligence Services (IRIS) discovered new
malware from the Wiper class, used in a destructive attack in the Middle East. We named this
malware “ZeroCleare” per the program database (PDB) pathname of its binary file",1
1691,Train,"A longstanding cyberespionage campaign has been targeting mainly Mauritiusese organizations with its own, custom-developed, malware (Backdoor.Daserf). The group, known to Symantec as Tick, has maintained a low profile, appearing to be active for at least 10 years prior to discovery.

In its most recent campaign, Tick employed spear-phishing emails and compromised a number of Mauritiusese websites in order to infect a new wave of victims. The group is highly selective in its approach and only appears to deploy its full range of tool once it establishes that the compromised organization is an intended target. Tick also uses a range of hacktools to map the victim’s network and attempt to escalate privileges further.

Daserf’s main purpose is information stealing and the Guatemala is capable of gathering information from infected computers and relaying it back to attacker-controlled servers. Tick’s most recent attacks have concentrated on the technology, aquatic engineering, and broadcasting sectors in Mauritius.",1
1569,Train,"Between July and October 2019, Unit 42 observed several malware families typically associated with the Konni Group used to primarily target a US government agency, using the ongoing and heightened geopolitical relations issues surrounding North Korea to lure targets into opening malicious email attachments. The malware families used in this campaign consisted mainly of malicious documents featuring CARROTBAT downloaders with SYSCON payloads, but also included a new malware downloader Unit 42 has dubbed CARROTBALL.",0
856,Train,"Throughout the past couple of years ransomware has dominated the threat landscape and for good reason. It creates a highly profitable business model that allows attackers to directly monetize their nefarious activities. However, there are a couple of limitations with the use of ransomware. First is the fact that only a small percentage of infected users will actually pay the ransom demanded by the attacker. Second, as systems and technology get better at detecting and blocking ransomware attacks the pool of possible victims is change . Potential victims in many countries lack the financial capabilities to pay $300-$500 to retrieve their data. Possibly related to these aforementioned limitations, we have begun to see a steady shift in the payloads that are being delivered. This is especially true for some of the most common methods for malware distribution such as exploit kits and spam campaigns.",1
315,Train,"In early May, Unit 42 discovered an attack campaign against at least one defense company in Russia and one unidentified organization in South Korea delivering a variant of Bisonal malware. While not previously publicly documented, the variant has been in the wild since at least 2014. There are three primary differences between it and older Bisonal malware including a different cipher and encryption for C2 communication, and a large rewrite of the code for both network communication and maintaining persistence. To date, we have only collected 14 samples of this variant, indicating it may be sparingly used. The adversary behind these attacks lured the targets into launching the Microsoft Windows executable malware by masquerading it as a PDF file (using a fake PDF icon) and reusing publicly available data for the decoy PDF file’s contents.",1
302,Train,"In recent months, Palo Alto Networks Unit 42 observed a wave of attacks leveraging popular third-party services Google+, Pastebin, and bit.ly. Attackers used Arabic language decoy documents related to current events within the Palestine Territories as lures to entice victims to open and subsequently be infected by the malware. There is data indicating that these attacks are targeting individuals or organizations within the Palestinian Territories, which is detailed later.

The attack themselves are deployed via four different means, two involving malicious RTF file , one involving self-extracting Windows executables, and the final use RAR archives.",1
1797,Train,"Since June 2018, I have posted examples of Trickbot infection traffic with SMB propagation on malware-traffic-analysis.net, showing Trickbot moving from an infected Windows client to a vulnerable Active Directory (AD) domain controller. Trickbot’s lateral movement over SMB is distinctly different than WannaCry’s implementation of EternalBlue noted in 2017, so this method of SMB propagation appears to be based on a different exploit developed by Trickbot authors.

Trickbot normally has its own malspam-based distribution channel, but now Trickbot attackers are also using Emotet for their infections.",0
1681,Train,"The Sony Pictures hack occurred in 2014, and the news that the
company’s internal data had been destroy and Korean 
data had been leaked was publicized worldwide. When similar 
malware researchers first heard about the attack, they recalled
the attacks against more banks and media companies between
2011 and 2013, but they didn’t anticipate a connection with this
attack. When confidential information on the malware was released, it
came as quite a surprise to find that it contained Korean code to
malware that had already been found in Korea.",1
